img_original,triangle_id,camera_view,object_in_square,AB_cm,BC_cm,CA_cm,angle_A_deg,angle_B_deg,angle_C_deg,side_type,angle_type,ab_over_ac,abs_b_minus_c_deg,max_over_min_side,angle_range_deg
triangles_original/009_T0.jpg,009,tilted,none,42,39,45,53.13,67.38,59.49,scalene,acute,0.9333,7.8904,1.1538,14.25
triangles_original/009_T1.jpg,009,tilted,iron,42,39,45,53.13,67.38,59.49,scalene,acute,0.9333,7.8904,1.1538,14.25
triangles_original/010_P0.jpg,010,planar,none,62.7,62.7,55.5,63.73,52.54,63.73,isosceles,acute,1.1297,11.1935,1.1297,11.19
triangles_original/010_P1.jpg,010,planar,book,62.7,62.7,55.5,63.73,52.54,63.73,isosceles,acute,1.1297,11.1935,1.1297,11.19
triangles_original/010_T0.jpg,010,tilted,none,62.7,62.7,55.5,63.73,52.54,63.73,isosceles,acute,1.1297,11.1935,1.1297,11.19
triangles_original/010_T1.jpg,010,tilted,book,62.7,62.7,55.5,63.73,52.54,63.73,isosceles,acute,1.1297,11.1935,1.1297,11.19
triangles_original/011_P0.jpg,011,planar,none,78.9,81.2,56.6,71.49,41.38,67.13,isosceles,acute,1.3940,25.7583,1.4346,30.12
triangles_original/011_P1.jpg,011,planar,book,78.9,81.2,56.6,71.49,41.38,67.13,isosceles,acute,1.3940,25.7583,1.4346,30.12
triangles_original/011_T0.jpg,011,tilted,none,78.9,81.2,56.6,71.49,41.38,67.13,isosceles,acute,1.3940,25.7583,1.4346,30.12
triangles_original/011_T1.jpg,011,tilted,book,78.9,81.2,56.6,71.49,41.38,67.13,isosceles,acute,1.3940,25.7583,1.4346,30.12
triangles_original/012_P0.jpg,012,planar,none,80,86.9,83.9,63.99,60.19,55.83,scalene,acute,0.9535,4.3627,1.0863,8.16
triangles_original/012_P1.jpg,012,planar,book,80,86.9,83.9,63.99,60.19,55.83,scalene,acute,0.9535,4.3627,1.0863,8.16
triangles_original/012_T0.jpg,012,tilted,none,80,86.9,83.9,63.99,60.19,55.83,scalene,acute,0.9535,4.3627,1.0863,8.16
triangles_original/012_T1.jpg,012,tilted,book,80,86.9,83.9,63.99,60.19,55.83,scalene,acute,0.9535,4.3627,1.0863,8.16
triangles_original/013_P0.jpg,013,planar,none,63.8,66.3,75.7,55.97,71.13,52.89,scalene,acute,0.8428,18.2394,1.1865,18.24
triangles_original/013_P1.jpg,013,planar,kettle,63.8,66.3,75.7,55.97,71.13,52.89,scalene,acute,0.8428,18.2394,1.1865,18.24
triangles_original/013_T0.jpg,013,tilted,none,63.8,66.3,75.7,55.97,71.13,52.89,scalene,acute,0.8428,18.2394,1.1865,18.24
triangles_original/013_T1.jpg,013,tilted,kettle,63.8,66.3,75.7,55.97,71.13,52.89,scalene,acute,0.8428,18.2394,1.1865,18.24
triangles_original/014_P0.jpg,014,planar,none,79,81.9,46.6,76.61,33.61,69.78,scalene,acute,1.6953,36.1712,1.7575,43.00
triangles_original/014_P1.jpg,014,planar,kettle,79,81.9,46.6,76.61,33.61,69.78,scalene,acute,1.6953,36.1712,1.7575,43.00
triangles_original/014_T0.jpg,014,tilted,none,79,81.9,46.6,76.61,33.61,69.78,scalene,acute,1.6953,36.1712,1.7575,43.00
triangles_original/014_T1.jpg,014,tilted,kettle,79,81.9,46.6,76.61,33.61,69.78,scalene,acute,1.6953,36.1712,1.7575,43.00
triangles_original/015_P0.jpg,015,planar,none,78,57,79.6,42.39,70.30,67.30,isosceles,acute,0.9799,2.9994,1.3965,27.91
triangles_original/015_P1.jpg,015,planar,kettle,78,57,79.6,42.39,70.30,67.30,isosceles,acute,0.9799,2.9994,1.3965,27.91
triangles_original/015_T0.jpg,015,tilted,none,78,57,79.6,42.39,70.30,67.30,isosceles,acute,0.9799,2.9994,1.3965,27.91
triangles_original/015_T1.jpg,015,tilted,kettle,78,57,79.6,42.39,70.30,67.30,isosceles,acute,0.9799,2.9994,1.3965,27.91
triangles_original/016_P0.jpg,016,planar,none,66.8,68.3,39,75.34,33.53,71.12,isosceles,acute,1.7128,37.5887,1.7513,41.81
triangles_original/016_P1.jpg,016,planar,apple,66.8,68.3,39,75.34,33.53,71.12,isosceles,acute,1.7128,37.5887,1.7513,41.81
triangles_original/016_T0.jpg,016,tilted,none,66.8,68.3,39,75.34,33.53,71.12,isosceles,acute,1.7128,37.5887,1.7513,41.81
triangles_original/016_T1.jpg,016,tilted,apple,66.8,68.3,39,75.34,33.53,71.12,isosceles,acute,1.7128,37.5887,1.7513,41.81
triangles_original/017_P0.jpg,017,planar,none,99.3,100.5,45,78.48,26.02,75.50,isosceles,acute,2.2067,49.4762,2.2333,52.45
triangles_original/017_P1.jpg,017,planar,apple,99.3,100.5,45,78.48,26.02,75.50,isosceles,acute,2.2067,49.4762,2.2333,52.45
triangles_original/017_T0.jpg,017,tilted,none,99.3,100.5,45,78.48,26.02,75.50,isosceles,acute,2.2067,49.4762,2.2333,52.45
triangles_original/017_T1.jpg,017,tilted,apple,99.3,100.5,45,78.48,26.02,75.50,isosceles,acute,2.2067,49.4762,2.2333,52.45
triangles_original/018_P0.jpg,018,planar,none,88.3,100.5,89.3,68.92,56.01,55.07,isosceles,acute,0.9888,0.9401,1.1382,13.86
triangles_original/018_P1.jpg,018,planar,apple,88.3,100.5,89.3,68.92,56.01,55.07,isosceles,acute,0.9888,0.9401,1.1382,13.86
triangles_original/018_T0.jpg,018,tilted,none,88.3,100.5,89.3,68.92,56.01,55.07,isosceles,acute,0.9888,0.9401,1.1382,13.86
triangles_original/018_T1.jpg,018,tilted,apple,88.3,100.5,89.3,68.92,56.01,55.07,isosceles,acute,0.9888,0.9401,1.1382,13.86
triangles_original/019_P0.jpg,019,planar,none,60.5,52.5,46.7,56.91,48.18,74.91,scalene,acute,1.2955,26.7237,1.2955,26.72
triangles_original/019_P1.jpg,019,planar,box,60.5,52.5,46.7,56.91,48.18,74.91,scalene,acute,1.2955,26.7237,1.2955,26.72
triangles_original/019_T0.jpg,019,tilted,none,60.5,52.5,46.7,56.91,48.18,74.91,scalene,acute,1.2955,26.7237,1.2955,26.72
triangles_original/019_T1.jpg,019,tilted,box,60.5,52.5,46.7,56.91,48.18,74.91,scalene,acute,1.2955,26.7237,1.2955,26.72
triangles_original/020_P0.jpg,020,planar,none,36.5,61.8,58.1,77.91,66.82,35.28,scalene,acute,0.6282,31.5433,1.6932,42.63
triangles_original/020_P1.jpg,020,planar,box,36.5,61.8,58.1,77.91,66.82,35.28,scalene,acute,0.6282,31.5433,1.6932,42.63
triangles_original/020_T0.jpg,020,tilted,none,36.5,61.8,58.1,77.91,66.82,35.28,scalene,acute,0.6282,31.5433,1.6932,42.63
triangles_original/020_T1.jpg,020,tilted,box,36.5,61.8,58.1,77.91,66.82,35.28,scalene,acute,0.6282,31.5433,1.6932,42.63
triangles_original/021_P0.jpg,021,planar,none,88.4,82.7,38.9,68.79,26.01,85.20,scalene,acute,2.2725,59.1955,2.2725,59.20
triangles_original/021_P1.jpg,021,planar,box,88.4,82.7,38.9,68.79,26.01,85.20,scalene,acute,2.2725,59.1955,2.2725,59.20
triangles_original/021_T0.jpg,021,tilted,none,88.4,82.7,38.9,68.79,26.01,85.20,scalene,acute,2.2725,59.1955,2.2725,59.20
triangles_original/021_T1.jpg,021,tilted,box,88.4,82.7,38.9,68.79,26.01,85.20,scalene,acute,2.2725,59.1955,2.2725,59.20
triangles_original/022_P0.jpg,022,planar,none,76.8,79.1,56.5,70.94,42.46,66.59,isosceles,acute,1.3593,24.1284,1.4000,28.48
triangles_original/022_P1.jpg,022,planar,stool,76.8,79.1,56.5,70.94,42.46,66.59,isosceles,acute,1.3593,24.1284,1.4000,28.48
triangles_original/022_T0.jpg,022,tilted,none,76.8,79.1,56.5,70.94,42.46,66.59,isosceles,acute,1.3593,24.1284,1.4000,28.48
triangles_original/022_T1.jpg,022,tilted,stool,76.8,79.1,56.5,70.94,42.46,66.59,isosceles,acute,1.3593,24.1284,1.4000,28.48
triangles_original/023_P0.jpg,023,planar,none,25.1,45.2,51.2,61.96,88.70,29.35,scalene,right,0.4902,59.3490,2.0398,59.35
triangles_original/023_P1.jpg,023,planar,stool,25.1,45.2,51.2,61.96,88.70,29.35,scalene,right,0.4902,59.3490,2.0398,59.35
triangles_original/023_T0.jpg,023,tilted,none,25.1,45.2,51.2,61.96,88.70,29.35,scalene,right,0.4902,59.3490,2.0398,59.35
triangles_original/023_T1.jpg,023,tilted,stool,25.1,45.2,51.2,61.96,88.70,29.35,scalene,right,0.4902,59.3490,2.0398,59.35
triangles_original/024_P0.jpg,024,planar,none,90.3,84.5,76.8,60.11,52.00,67.89,scalene,acute,1.1758,15.8970,1.1758,15.90
triangles_original/024_P1.jpg,024,planar,stool,90.3,84.5,76.8,60.11,52.00,67.89,scalene,acute,1.1758,15.8970,1.1758,15.90
triangles_original/024_T0.jpg,024,tilted,none,90.3,84.5,76.8,60.11,52.00,67.89,scalene,acute,1.1758,15.8970,1.1758,15.90
triangles_original/024_T1.jpg,024,tilted,stool,90.3,84.5,76.8,60.11,52.00,67.89,scalene,acute,1.1758,15.8970,1.1758,15.90
triangles_original/025_P0.jpg,025,planar,none,61.7,41.8,62.3,39.40,71.08,69.53,isosceles,acute,0.9904,1.5486,1.4904,31.68
triangles_original/025_P1.jpg,025,planar,laptop,61.7,41.8,62.3,39.40,71.08,69.53,isosceles,acute,0.9904,1.5486,1.4904,31.68
triangles_original/025_T0.jpg,025,tilted,none,61.7,41.8,62.3,39.40,71.08,69.53,isosceles,acute,0.9904,1.5486,1.4904,31.68
triangles_original/025_T1.jpg,025,tilted,laptop,61.7,41.8,62.3,39.40,71.08,69.53,isosceles,acute,0.9904,1.5486,1.4904,31.68
triangles_original/026_P0.jpg,026,planar,none,92.4,87.7,62.3,65.75,40.37,73.88,scalene,acute,1.4831,33.5057,1.4831,33.51
triangles_original/026_P1.jpg,026,planar,laptop,92.4,87.7,62.3,65.75,40.37,73.88,scalene,acute,1.4831,33.5057,1.4831,33.51
triangles_original/026_T0.jpg,026,tilted,none,92.4,87.7,62.3,65.75,40.37,73.88,scalene,acute,1.4831,33.5057,1.4831,33.51
triangles_original/026_T1.jpg,026,tilted,laptop,92.4,87.7,62.3,65.75,40.37,73.88,scalene,acute,1.4831,33.5057,1.4831,33.51
triangles_original/027_P0.jpg,027,planar,none,39,34.5,41.3,50.79,68.06,61.15,scalene,acute,0.9443,6.9054,1.1971,17.27
triangles_original/027_P1.jpg,027,planar,laptop,39,34.5,41.3,50.79,68.06,61.15,scalene,acute,0.9443,6.9054,1.1971,17.27
triangles_original/027_T0.jpg,027,tilted,none,39,34.5,41.3,50.79,68.06,61.15,scalene,acute,0.9443,6.9054,1.1971,17.27
triangles_original/027_T1.jpg,027,tilted,laptop,39,34.5,41.3,50.79,68.06,61.15,scalene,acute,0.9443,6.9054,1.1971,17.27
triangles_original/028_P0.jpg,028,planar,none,79.3,34.5,78.4,25.27,75.91,78.83,isosceles,acute,1.0115,2.9173,2.2986,53.56
triangles_original/028_P1.jpg,028,planar,pillow,79.3,34.5,78.4,25.27,75.91,78.83,isosceles,acute,1.0115,2.9173,2.2986,53.56
triangles_original/028_T0.jpg,028,tilted,none,79.3,34.5,78.4,25.27,75.91,78.83,isosceles,acute,1.0115,2.9173,2.2986,53.56
triangles_original/028_T1.jpg,028,tilted,pillow,79.3,34.5,78.4,25.27,75.91,78.83,isosceles,acute,1.0115,2.9173,2.2986,53.56
triangles_original/029_P0.jpg,029,planar,none,79.3,77.7,70.4,62.20,53.27,64.53,isosceles,acute,1.1264,11.2572,1.1264,11.26
triangles_original/029_P1.jpg,029,planar,pillow,79.3,77.7,70.4,62.20,53.27,64.53,isosceles,acute,1.1264,11.2572,1.1264,11.26
triangles_original/029_T0.jpg,029,tilted,none,79.3,77.7,70.4,62.20,53.27,64.53,isosceles,acute,1.1264,11.2572,1.1264,11.26
triangles_original/029_T1.jpg,029,tilted,pillow,79.3,77.7,70.4,62.20,53.27,64.53,isosceles,acute,1.1264,11.2572,1.1264,11.26
triangles_original/030_P0.jpg,030,planar,none,37.6,45,45.3,64.98,65.81,49.21,isosceles,acute,0.8300,16.5971,1.2048,16.60
triangles_original/030_P1.jpg,030,planar,pillow,37.6,45,45.3,64.98,65.81,49.21,isosceles,acute,0.8300,16.5971,1.2048,16.60
triangles_original/030_T0.jpg,030,tilted,none,37.6,45,45.3,64.98,65.81,49.21,isosceles,acute,0.8300,16.5971,1.2048,16.60
triangles_original/030_T1.jpg,030,tilted,pillow,37.6,45,45.3,64.98,65.81,49.21,isosceles,acute,0.8300,16.5971,1.2048,16.60
triangles_original/031_P0.jpg,031,planar,none,18.4,68.4,57.5,119.24,47.18,13.58,scalene,obtuse,0.3200,33.6053,3.7174,105.67
triangles_original/031_P1.jpg,031,planar,rubiks cube,18.4,68.4,57.5,119.24,47.18,13.58,scalene,obtuse,0.3200,33.6053,3.7174,105.67
triangles_original/031_T0.jpg,031,tilted,none,18.4,68.4,57.5,119.24,47.18,13.58,scalene,obtuse,0.3200,33.6053,3.7174,105.67
triangles_original/031_T1.jpg,031,tilted,rubiks cube,18.4,68.4,57.5,119.24,47.18,13.58,scalene,obtuse,0.3200,33.6053,3.7174,105.67
triangles_original/032_P0.jpg,032,planar,none,33.5,88.7,67.6,118.71,41.95,19.34,scalene,obtuse,0.4956,22.6014,2.6478,99.36
triangles_original/032_P1.jpg,032,planar,rubiks cube,33.5,88.7,67.6,118.71,41.95,19.34,scalene,obtuse,0.4956,22.6014,2.6478,99.36
triangles_original/032_T0.jpg,032,tilted,none,33.5,88.7,67.6,118.71,41.95,19.34,scalene,obtuse,0.4956,22.6014,2.6478,99.36
triangles_original/032_T1.jpg,032,tilted,rubiks cube,33.5,88.7,67.6,118.71,41.95,19.34,scalene,obtuse,0.4956,22.6014,2.6478,99.36
triangles_original/033_P0.jpg,033,planar,none,40.9,98.5,65.3,134.82,28.05,17.13,scalene,obtuse,0.6263,10.9199,2.4083,117.69
triangles_original/033_P1.jpg,033,planar,rubiks cube,40.9,98.5,65.3,134.82,28.05,17.13,scalene,obtuse,0.6263,10.9199,2.4083,117.69
triangles_original/033_T0.jpg,033,tilted,none,40.9,98.5,65.3,134.82,28.05,17.13,scalene,obtuse,0.6263,10.9199,2.4083,117.69
triangles_original/033_T1.jpg,033,tilted,rubiks cube,40.9,98.5,65.3,134.82,28.05,17.13,scalene,obtuse,0.6263,10.9199,2.4083,117.69
triangles_original/034_P0.jpg,034,planar,none,94.7,116.8,35.7,120.18,15.32,44.50,scalene,obtuse,2.6527,29.1755,3.2717,104.86
triangles_original/034_P1.jpg,034,planar,glass,94.7,116.8,35.7,120.18,15.32,44.50,scalene,obtuse,2.6527,29.1755,3.2717,104.86
triangles_original/034_T0.jpg,034,tilted,none,94.7,116.8,35.7,120.18,15.32,44.50,scalene,obtuse,2.6527,29.1755,3.2717,104.86
triangles_original/034_T1.jpg,034,tilted,glass,94.7,116.8,35.7,120.18,15.32,44.50,scalene,obtuse,2.6527,29.1755,3.2717,104.86
triangles_original/035_P0.jpg,035,planar,none,109.2,98,14,34.61,4.65,140.74,scalene,obtuse,7.8000,136.0866,7.8000,136.09
triangles_original/035_P1.jpg,035,planar,glass,109.2,98,14,34.61,4.65,140.74,scalene,obtuse,7.8000,136.0866,7.8000,136.09
triangles_original/035_T0.jpg,035,tilted,none,109.2,98,14,34.61,4.65,140.74,scalene,obtuse,7.8000,136.0866,7.8000,136.09
triangles_original/035_T1.jpg,035,tilted,glass,109.2,98,14,34.61,4.65,140.74,scalene,obtuse,7.8000,136.0866,7.8000,136.09
triangles_original/036_P0.jpg,036,planar,none,61.1,94.8,48.7,118.97,26.71,34.33,scalene,obtuse,1.2546,7.6167,1.9466,92.26
triangles_original/036_P1.jpg,036,planar,glass,61.1,94.8,48.7,118.97,26.71,34.33,scalene,obtuse,1.2546,7.6167,1.9466,92.26
triangles_original/036_T0.jpg,036,tilted,none,61.1,94.8,48.7,118.97,26.71,34.33,scalene,obtuse,1.2546,7.6167,1.9466,92.26
triangles_original/036_T1.jpg,036,tilted,glass,61.1,94.8,48.7,118.97,26.71,34.33,scalene,obtuse,1.2546,7.6167,1.9466,92.26
triangles_original/037_P0.jpg,037,planar,none,55.2,94.8,59,112.18,35.19,32.63,scalene,obtuse,0.9356,2.5628,1.7174,79.55
triangles_original/037_P1.jpg,037,planar,iron,55.2,94.8,59,112.18,35.19,32.63,scalene,obtuse,0.9356,2.5628,1.7174,79.55
triangles_original/037_T0.jpg,037,tilted,none,55.2,94.8,59,112.18,35.19,32.63,scalene,obtuse,0.9356,2.5628,1.7174,79.55
triangles_original/037_T1.jpg,037,tilted,iron,55.2,94.8,59,112.18,35.19,32.63,scalene,obtuse,0.9356,2.5628,1.7174,79.55
triangles_original/038_P0.jpg,038,planar,none,27.8,83.3,61.6,133.82,32.25,13.93,scalene,obtuse,0.4513,18.3123,2.9964,119.89
triangles_original/038_P1.jpg,038,planar,iron,27.8,83.3,61.6,133.82,32.25,13.93,scalene,obtuse,0.4513,18.3123,2.9964,119.89
triangles_original/038_T0.jpg,038,tilted,none,27.8,83.3,61.6,133.82,32.25,13.93,scalene,obtuse,0.4513,18.3123,2.9964,119.89
triangles_original/038_T1.jpg,038,tilted,iron,27.8,83.3,61.6,133.82,32.25,13.93,scalene,obtuse,0.4513,18.3123,2.9964,119.89
triangles_original/039_P0.jpg,039,planar,none,32,81.2,52.1,148.90,19.36,11.75,scalene,obtuse,0.6142,7.6107,2.5375,137.15
triangles_original/039_P1.jpg,039,planar,iron,32,81.2,52.1,148.90,19.36,11.75,scalene,obtuse,0.6142,7.6107,2.5375,137.15
triangles_original/039_T0.jpg,039,tilted,none,32,81.2,52.1,148.90,19.36,11.75,scalene,obtuse,0.6142,7.6107,2.5375,137.15
triangles_original/039_T1.jpg,039,tilted,iron,32,81.2,52.1,148.90,19.36,11.75,scalene,obtuse,0.6142,7.6107,2.5375,137.15
triangles_original/040_P0.jpg,040,planar,none,31.7,90.8,67.5,128.83,35.39,15.78,scalene,obtuse,0.4696,19.6054,2.8644,113.05
triangles_original/040_P1.jpg,040,planar,book,31.7,90.8,67.5,128.83,35.39,15.78,scalene,obtuse,0.4696,19.6054,2.8644,113.05
triangles_original/040_T0.jpg,040,tilted,none,31.7,90.8,67.5,128.83,35.39,15.78,scalene,obtuse,0.4696,19.6054,2.8644,113.05
triangles_original/040_T1.jpg,040,tilted,book,31.7,90.8,67.5,128.83,35.39,15.78,scalene,obtuse,0.4696,19.6054,2.8644,113.05
triangles_original/041_P0.jpg,041,planar,none,131,120.6,15.3,44.67,5.12,130.21,scalene,obtuse,8.5621,125.0947,8.5621,125.09
triangles_original/041_P1.jpg,041,planar,book,131,120.6,15.3,44.67,5.12,130.21,scalene,obtuse,8.5621,125.0947,8.5621,125.09
triangles_original/041_T0.jpg,041,tilted,none,131,120.6,15.3,44.67,5.12,130.21,scalene,obtuse,8.5621,125.0947,8.5621,125.09
triangles_original/041_T1.jpg,041,tilted,book,131,120.6,15.3,44.67,5.12,130.21,scalene,obtuse,8.5621,125.0947,8.5621,125.09
triangles_original/042_P0.jpg,042,planar,none,131,128.4,4.3,52.04,1.51,126.44,isosceles,obtuse,30.4651,124.9303,30.4651,124.93
triangles_original/042_P1.jpg,042,planar,book,131,128.4,4.3,52.04,1.51,126.44,isosceles,obtuse,30.4651,124.9303,30.4651,124.93
triangles_original/042_T0.jpg,042,tilted,none,131,128.4,4.3,52.04,1.51,126.44,isosceles,obtuse,30.4651,124.9303,30.4651,124.93
triangles_original/042_T1.jpg,042,tilted,book,131,128.4,4.3,52.04,1.51,126.44,isosceles,obtuse,30.4651,124.9303,30.4651,124.93
triangles_original/043_P0.jpg,043,planar,none,131,94.2,62.1,41.72,26.02,112.25,scalene,obtuse,2.1095,86.2316,2.1095,86.23
triangles_original/043_P1.jpg,043,planar,kettle,131,94.2,62.1,41.72,26.02,112.25,scalene,obtuse,2.1095,86.2316,2.1095,86.23
triangles_original/043_T0.jpg,043,tilted,none,131,94.2,62.1,41.72,26.02,112.25,scalene,obtuse,2.1095,86.2316,2.1095,86.23
triangles_original/043_T1.jpg,043,tilted,kettle,131,94.2,62.1,41.72,26.02,112.25,scalene,obtuse,2.1095,86.2316,2.1095,86.23
triangles_original/044_P0.jpg,044,planar,none,93,38.8,62,17.68,29.02,133.30,scalene,obtuse,1.5000,104.2744,2.3969,115.62
triangles_original/044_P1.jpg,044,planar,kettle,93,38.8,62,17.68,29.02,133.30,scalene,obtuse,1.5000,104.2744,2.3969,115.62
triangles_original/044_T0.jpg,044,tilted,none,93,38.8,62,17.68,29.02,133.30,scalene,obtuse,1.5000,104.2744,2.3969,115.62
triangles_original/044_T1.jpg,044,tilted,kettle,93,38.8,62,17.68,29.02,133.30,scalene,obtuse,1.5000,104.2744,2.3969,115.62
triangles_original/045_P0.jpg,045,planar,none,87.9,65.7,47.5,47.27,32.08,100.65,scalene,obtuse,1.8505,68.5736,1.8505,68.57
triangles_original/045_P1.jpg,045,planar,kettle,87.9,65.7,47.5,47.27,32.08,100.65,scalene,obtuse,1.8505,68.5736,1.8505,68.57
triangles_original/045_T0.jpg,045,tilted,none,87.9,65.7,47.5,47.27,32.08,100.65,scalene,obtuse,1.8505,68.5736,1.8505,68.57
triangles_original/045_T1.jpg,045,tilted,kettle,87.9,65.7,47.5,47.27,32.08,100.65,scalene,obtuse,1.8505,68.5736,1.8505,68.57
triangles_original/046_P0.jpg,046,planar,none,23.7,81.5,100,34.22,136.37,9.41,scalene,obtuse,0.2370,126.9558,4.2194,126.96
triangles_original/046_P1.jpg,046,planar,apple,23.7,81.5,100,34.22,136.37,9.41,scalene,obtuse,0.2370,126.9558,4.2194,126.96
triangles_original/046_T0.jpg,046,tilted,none,23.7,81.5,100,34.22,136.37,9.41,scalene,obtuse,0.2370,126.9558,4.2194,126.96
triangles_original/046_T1.jpg,046,tilted,apple,23.7,81.5,100,34.22,136.37,9.41,scalene,obtuse,0.2370,126.9558,4.2194,126.96
triangles_original/047_P0.jpg,047,planar,none,46.3,47,88.7,18.21,143.87,17.93,isosceles,obtuse,0.5220,125.9389,1.9158,125.94
triangles_original/047_P1.jpg,047,planar,apple,46.3,47,88.7,18.21,143.87,17.93,isosceles,obtuse,0.5220,125.9389,1.9158,125.94
triangles_original/047_T0.jpg,047,tilted,none,46.3,47,88.7,18.21,143.87,17.93,isosceles,obtuse,0.5220,125.9389,1.9158,125.94
triangles_original/047_T1.jpg,047,tilted,apple,46.3,47,88.7,18.21,143.87,17.93,isosceles,obtuse,0.5220,125.9389,1.9158,125.94
