image_path,gemini_2.5_pro_response,gemini_2.5_flash_response,openai_gpt_5_response,qwen_2.5_32b_response
triangles_original/003_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.5719,
  ""abs_b_minus_c_deg"": 81.3270,
  ""max_over_min_side"": 1.8094,
  ""angle_range_deg"": 81.3270
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.2944,
  ""abs_b_minus_c_deg"": 55.7693,
  ""max_over_min_side"": 3.5719,
  ""angle_range_deg"": 75.7088
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3400,
  ""abs_b_minus_c_deg"": 7.8000,
  ""max_over_min_side"": 1.4200,
  ""angle_range_deg"": 13.2000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/003_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.7281,
  ""abs_b_minus_c_deg"": 62.1486,
  ""max_over_min_side"": 1.9622,
  ""angle_range_deg"": 77.2082
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.0370,
  ""abs_b_minus_c_deg"": 160.8556,
  ""max_over_min_side"": 3.1653,
  ""angle_range_deg"": 160.8556
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2785,
  ""abs_b_minus_c_deg"": 11.4321,
  ""max_over_min_side"": 1.3197,
  ""angle_range_deg"": 15.8932
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/004_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.0075,
  ""abs_b_minus_c_deg"": 0.3913,
  ""max_over_min_side"": 1.4789,
  ""angle_range_deg"": 52.5496
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7935,
  ""abs_b_minus_c_deg"": 27.4977,
  ""max_over_min_side"": 1.2737,
  ""angle_range_deg"": 28.2616
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.3840,
""abs_b_minus_c_deg"": 8.7200,
""max_over_min_side"": 1.4680,
""angle_range_deg"": 16.2000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/004_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.0075,
  ""abs_b_minus_c_deg"": 0.2902,
  ""max_over_min_side"": 1.5796,
  ""angle_range_deg"": 65.8349
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.8649,
  ""abs_b_minus_c_deg"": 17.0173,
  ""max_over_min_side"": 1.2142,
  ""angle_range_deg"": 20.8053
}","{
  ""side_type"": ""isosceles"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9938,
  ""abs_b_minus_c_deg"": 1.2164,
  ""max_over_min_side"": 1.0472,
  ""angle_range_deg"": 5.6821
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/004_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.6948,
  ""abs_b_minus_c_deg"": 44.4333,
  ""max_over_min_side"": 1.4393,
  ""angle_range_deg"": 44.4333
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.4895,
  ""abs_b_minus_c_deg"": 72.0222,
  ""max_over_min_side"": 2.0430,
  ""angle_range_deg"": 72.0222
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.2360,
""abs_b_minus_c_deg"": 14.5270,
""max_over_min_side"": 1.2980,
""angle_range_deg"": 18.9420
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.5678,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/004_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.4601,
  ""abs_b_minus_c_deg"": 116.8143,
  ""max_over_min_side"": 2.1733,
  ""angle_range_deg"": 116.8143
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.5154,
  ""abs_b_minus_c_deg"": 92.8743,
  ""max_over_min_side"": 1.9402,
  ""angle_range_deg"": 92.8743
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2145,
  ""abs_b_minus_c_deg"": 10.8732,
  ""max_over_min_side"": 1.2967,
  ""angle_range_deg"": 15.4325
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/005_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.1638,
  ""abs_b_minus_c_deg"": 7.4399,
  ""max_over_min_side"": 1.6392,
  ""angle_range_deg"": 61.0226
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.0788,
  ""abs_b_minus_c_deg"": 4.5721,
  ""max_over_min_side"": 1.4300,
  ""angle_range_deg"": 42.5738
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.1694,
""abs_b_minus_c_deg"": 10.3127,
""max_over_min_side"": 1.2386,
""angle_range_deg"": 16.9074
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/005_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.1142,
  ""abs_b_minus_c_deg"": 7.2298,
  ""max_over_min_side"": 1.3773,
  ""angle_range_deg"": 35.2715
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.0887,
  ""abs_b_minus_c_deg"": 4.9127,
  ""max_over_min_side"": 1.4696,
  ""angle_range_deg"": 46.4356
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.1920,
  ""abs_b_minus_c_deg"": 10.8700,
  ""max_over_min_side"": 1.2310,
  ""angle_range_deg"": 13.5000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/005_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.4769,
  ""abs_b_minus_c_deg"": 17.7140,
  ""max_over_min_side"": 1.9488,
  ""angle_range_deg"": 71.9165
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.9259,
  ""abs_b_minus_c_deg"": 2.8977,
  ""max_over_min_side"": 1.7440,
  ""angle_range_deg"": 82.2593
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3285,
  ""abs_b_minus_c_deg"": 10.7420,
  ""max_over_min_side"": 1.4217,
  ""angle_range_deg"": 15.6134
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.5678,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/005_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 1.7080,
  ""abs_b_minus_c_deg"": 18.5085,
  ""max_over_min_side"": 2.3286,
  ""angle_range_deg"": 93.4758
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.8915,
  ""abs_b_minus_c_deg"": 5.9783,
  ""max_over_min_side"": 1.5550,
  ""angle_range_deg"": 54.0213
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.1670,
""abs_b_minus_c_deg"": 12.5300,
""max_over_min_side"": 1.2310,
""angle_range_deg"": 15.4200
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.5678,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/006_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.6244,
  ""abs_b_minus_c_deg"": 37.1735,
  ""max_over_min_side"": 1.6244,
  ""angle_range_deg"": 37.1735
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2069,
  ""abs_b_minus_c_deg"": 20.0036,
  ""max_over_min_side"": 1.2069,
  ""angle_range_deg"": 20.0036
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3900,
  ""abs_b_minus_c_deg"": 12.0000,
  ""max_over_min_side"": 1.4400,
  ""angle_range_deg"": 14.0000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/006_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9465,
  ""abs_b_minus_c_deg"": 5.2228,
  ""max_over_min_side"": 1.0604,
  ""angle_range_deg"": 5.6123
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9162,
  ""abs_b_minus_c_deg"": 9.4506,
  ""max_over_min_side"": 1.1120,
  ""angle_range_deg"": 11.0620
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2034,
  ""abs_b_minus_c_deg"": 11.2765,
  ""max_over_min_side"": 1.2378,
  ""angle_range_deg"": 13.8492
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
triangles_original/006_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9362,
  ""abs_b_minus_c_deg"": 5.0420,
  ""max_over_min_side"": 1.2396,
  ""angle_range_deg"": 22.8760
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 2.2388,
  ""abs_b_minus_c_deg"": 35.2864,
  ""max_over_min_side"": 2.6144,
  ""angle_range_deg"": 78.5075
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2710,
  ""abs_b_minus_c_deg"": 14.3820,
  ""max_over_min_side"": 1.3680,
  ""angle_range_deg"": 20.9470
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.4567,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/006_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.9280,
  ""abs_b_minus_c_deg"": 39.8474,
  ""max_over_min_side"": 2.0505,
  ""angle_range_deg"": 53.4841
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2310,
  ""abs_b_minus_c_deg"": 12.6764,
  ""max_over_min_side"": 1.5340,
  ""angle_range_deg"": 45.7184
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3025,
  ""abs_b_minus_c_deg"": 11.7432,
  ""max_over_min_side"": 1.4187,
  ""angle_range_deg"": 14.5621
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.5678,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/007_P0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.4738,
  ""abs_b_minus_c_deg"": 39.1870,
  ""max_over_min_side"": 2.3379,
  ""angle_range_deg"": 64.8417
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.6254,
  ""abs_b_minus_c_deg"": 15.0111,
  ""max_over_min_side"": 2.2774,
  ""angle_range_deg"": 98.5470
}","{
""side_type"": ""scalene"",
""angle_type"": ""right"",
""ab_over_ac"": 0.7160,
""abs_b_minus_c_deg"": 35.5377,
""max_over_min_side"": 1.3975,
""angle_range_deg"": 35.5377
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/007_T0.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.5353,
  ""abs_b_minus_c_deg"": 64.4580,
  ""max_over_min_side"": 1.8684,
  ""angle_range_deg"": 64.4580
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""obtuse"",
  ""ab_over_ac"": 0.3802,
  ""abs_b_minus_c_deg"": 72.1119,
  ""max_over_min_side"": 2.6305,
  ""angle_range_deg"": 72.1119
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3690,
  ""abs_b_minus_c_deg"": 14.2700,
  ""max_over_min_side"": 1.4190,
  ""angle_range_deg"": 16.7700
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 26.5651,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 26.5651
}
```"
triangles_original/007_P1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.0783,
  ""abs_b_minus_c_deg"": 7.2293,
  ""max_over_min_side"": 1.0783,
  ""angle_range_deg"": 7.2293
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.9958,
  ""abs_b_minus_c_deg"": 0.2938,
  ""max_over_min_side"": 1.2256,
  ""angle_range_deg"": 23.2372
}","{
""side_type"": ""scalene"",
""angle_type"": ""acute"",
""ab_over_ac"": 1.1860,
""abs_b_minus_c_deg"": 8.5270,
""max_over_min_side"": 1.2790,
""angle_range_deg"": 15.9420
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.2345,
  ""abs_b_minus_c_deg"": 15.6789,
  ""max_over_min_side"": 1.4567,
  ""angle_range_deg"": 23.4567
}
```"
triangles_original/007_T1.jpg,"{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7227,
  ""abs_b_minus_c_deg"": 18.3220,
  ""max_over_min_side"": 1.7056,
  ""angle_range_deg"": 53.9870
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 0.7585,
  ""abs_b_minus_c_deg"": 16.0794,
  ""max_over_min_side"": 1.6357,
  ""angle_range_deg"": 51.0426
}","{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.3250,
  ""abs_b_minus_c_deg"": 13.7200,
  ""max_over_min_side"": 1.4800,
  ""angle_range_deg"": 18.6000
}","```json
{
  ""side_type"": ""scalene"",
  ""angle_type"": ""acute"",
  ""ab_over_ac"": 1.4142,
  ""abs_b_minus_c_deg"": 15.0000,
  ""max_over_min_side"": 1.4142,
  ""angle_range_deg"": 30.0000
}
```"
